"%s %s will expire after %s day(s)","%s %s will expire after %s day(s)"
"Name: %s","Name: %s"
"New Rule","New Rule"
"Newsletter signup","Newsletter signup"
"-- None --","-- None --"
"No","No"
"Notice","Notice"
"Notifications","Notifications"
"No Transactions Found","No Transactions Found"
"of %s %s (%s) available","of %s %s (%s) available"
"Only those who purchased product can gain points","Only those who purchased product can gain points"
"Order Date: %s","Order Date: %s"
"Ordered","Ordered"
"Order #%s","Order #%s"
"Order Subtotal","Order Subtotal"
"Participating in poll","Participating in poll"
"Participating in poll points/day limit","Participating in poll points/day limit"
"Payment Method","Payment Method"
"Please enter new rule name","Please enter new rule name"
"Points and Rewards Balance Update","Points and Rewards Balance Update"
"Points and Rewards Expiration Warning","Points and Rewards Expiration Warning"
"Points and Rewards Invtation","Points and Rewards Invtation"
"Points and Rewards Invitation",""Points and Rewards Invitation"
"Points awarded to customers for their referral's purchases (fixed points amount)","Points awarded to customers for their referral's purchases (fixed points amount)"
"Points awarded to customers for their referral's purchases (% from purchase sum)","Points awarded to customers for their referral's purchases (% from purchase sum)"
"Points awarded to customers for their referral's purchases","Points awarded to customers for their referral's purchases"
"Points Balance Change","Points Balance Change"
"Points Balance Limit: <strong> %s </strong>","Points Balance Limit: <strong> %s </strong>"
"Points expire email","Points expiration email"
"Points for inviting a friend","Points for inviting a friend"
"Points Rates","Points Rates"
"Points","Points"
"Points & Reward Rule","Points & Reward Rule"
"Points & Rewards","Points & Rewards"
"Points & Rewards Rules","Points & Rewards Rules"
"Points won't be earned if a customer is subscribed by admin","Points won't be earned if a customer is subscribed by admin"
"Point unit name","Point unit name"
"Price in cart","Price in cart"
"Price","Price"
"Print All Invoices","Print All Invoices"
"Print All Refunds","Print All Refunds"
"Print Invoice","Print Invoice"
"Print Refund","Print Refund"
"Priority","Priority"
"Product attribute combination","Product attribute combination"
"Product Attribute","Product Attribute"
"Product Name","Product Name"
"Products subselection","Products subselection"
"Qty Invoiced","Qty Invoiced"
"Qty","Qty"
"Quantity in cart","Quantity in cart"
"Rate","Rate"
"Rate was successfully deleted","Rate was successfully deleted"
"Rate was successfully saved","Rate was successfully saved"
"Reach  %s  %s to start spending them.","Reach  %s  %s to start spending them."
"Recently added item(s)","Recently added item(s)"
"Referral system","Referral system"
"Refer to %s transaction  history to see if a specific record expires and when.","Refer to %s transaction  history to see if a specific record expires and when."
"Refund #","Refund #"
"Refund #%s","Refund #%s"
"Refunds","Refunds"
"Registration","Registration"
"Related Blocks","Related Blocks"
"Reset all transactions","Reset all transactions"
"Reset all transactions","Reset all transactions"
"Reviewing product points/day limit","Reviewing product points/day limit"
"Reviewing product","Reviewing product"
"Reward Exchange Rate Information","Reward Exchange Rate Information"
"Reward Point Balance","Reward Point Balance"
"Reward points balance information","Reward points balance information"
"Reward points expire after, days","Reward points expire after, days"
"Reward Points History","Reward Points History"
"Reward Points Notification","Reward Points Notification"
"Reward points","Reward points"
"Reward Points","Reward Points"
"Reward Rules","Reward Rules"
"Rewards","Rewards"
"Row total in cart","Row total in cart"
"Row Total","Row Total"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule #%s, %s","Rule #%s, %s"
"Rule Title","Rule Title"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"Save And Continue Edit","Save And Continue Edit"
"Save As","Save As"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"Save Subscription Settings","Save Subscription Settings"
"Save Transaction","Save Transaction"
"Sender","Sender"
"Send invitation","Send invitation"
"Send Invitations","Send Invitations"
"Shipped","Shipped"
"Shipping Address","Shipping Address"
"Shipping Country","Shipping Country"
"Shipping & Handling","Shipping & Handling"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping","Shipping"
"Shipping State/Province","Shipping State/Province"
"Sku","Sku"
"SKU","SKU"
"Spending Points","Spending Points"
"Spend Rate","Spend Rate"
"%s","%s"
"%s (%s)","%s (%s)"
"Start at: %s","Start at: %s"
"State/Province","State/Province"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Store View","Store View"
"Subscribe customers by default","Subscribe customers by default"
"Subscribe to balance update","Subscribe to balance update"
"Subscribe to points expiration notification","Subscribe to points expiration notification"
"Subtotal","Subtotal"
"Successfully deleted","Successfully deleted"
"Tagging product points/day limit","Tagging product points/day limit"
"Tagging product","Tagging product"
"Tax","Tax"
"Telephone","Telephone"
"The subscription for balance update notification has been saved","The subscription for balance update notification has been saved"
"The subscription for balance update notification has been removed","The subscription for balance update notification has been removed"
"The subscription for points expiration notification has been saved","The subscription for points expiration notification has been saved"
"The subscription for points expiration notification has been removed","The subscription for points expiration notification has been removed"
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your cart."
